Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_MMOP,SQ_ACTIVE_INST_MMOP,SQ_INSTS_VALU,SQ_ACTIVE_INST_VALU,SQ_WAVES,DispatchNs,BeginNs,EndNs,CompleteNs
184,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,307,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298811394135,2875298812043217,2875298812071697,2875298812077901
186,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,309,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298812184522,2875298812825936,2875298812853776,2875298812855838
187,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,311,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298813386323,2875298813936655,2875298813964495,2875298813966508
188,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,312,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298814022339,2875298814715694,2875298814743374,2875298814745485
189,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,313,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298814808266,2875298815475694,2875298815504014,2875298815506242
190,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,314,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298815566533,2875298816232973,2875298816261293,2875298816263969
191,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,315,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298816324050,2875298816974252,2875298817001772,2875298817003856
192,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,316,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298817062727,2875298817711852,2875298817739852,2875298817741833
193,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,317,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298817804613,2875298818496011,2875298818526251,2875298818528600
194,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,318,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298818588401,2875298819267690,2875298819296810,2875298819299387
